A,B,C,D,E
0.4233164630979916,1.128516274850555,0.14319479877282953,-1.41236453473537,0.9487793268361908
0.9889028572022225,-1.822289682647148,0.8897230282691831,-0.9967536973471973,-0.9518928276501841
-0.06285832484010691,-0.587966387259811,-0.5436270185561874,-0.38458849738100814,1.262242542462966
2.089130200928322,-0.5002712275417545,-1.0906795696981553,-0.33530269798067613,-1.0621435192594817
-1.0813328780460132,-1.5902703861481482,1.355749667425276,-0.348654115996958,-0.4652896269021505
0.013305880852677646,0.17678853489516244,-1.2377863932307016,-0.41190962609207665,2.284914218842941
-0.3063111050674059,2.023690233726497,0.9127223026104101,0.4743388227124177,0.65670927708812
0.5625345749784322,0.02884127413445945,-1.1269611471456493,0.24640370757982089,1.175491455761141
-0.6522870633031013,0.9822288853780358,1.177280972076537,-0.7352919403387764,2.5974023381753115
0.694994461699469,-0.5415108223460028,-0.0666884077649443,0.33508911215349096,0.3450399444500379
